Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Delfzijl;9;36,5;4;16,2;0;0;;;WAAR;Delfzijl
Den Helder;12;21,3;6;10,7;0;0;;;WAAR;Den Helder
Deurne;58;178,6;32;98,5;6;18,5;;;WAAR;Deurne
Deventer;58;57,6;22;21,8;17;16,9;;;WAAR;Deventer
Diemen;13;42,2;6;19,5;2;6,5;;;WAAR;Diemen
Dinkelland;32;120,9;14;52,9;3;11,3;;;WAAR;Dinkelland
Doesburg;6;54,2;3;27,1;2;18,1;;;WAAR;Doesburg
Doetinchem;28;48,3;14;24,1;4;6,9;;;WAAR;Doetinchem
Dongen;28;106,8;11;41,9;5;19,1;;;WAAR;Dongen
Dordrecht;58;48,6;36;30,2;4;3,4;;;WAAR;Dordrecht
Drechterland;9;45,6;2;10,1;1;5,1;;;WAAR;Drechterland
Drimmelen;19;69,7;8;29,3;2;7,3;;;WAAR;Drimmelen
Dronten;13;31,3;12;28,9;2;4,8;;;WAAR;Dronten
Druten;16;84,5;11;58,1;0;0;;;WAAR;Druten
Duiven;6;23,9;5;19,9;0;0;;;WAAR;Duiven
Echt-Susteren;29;91,7;17;53,8;5;15,8;;;WAAR;Echt-Susteren
Edam-Volendam;16;44,2;9;24,9;0;0;;;WAAR;Edam-Volendam
Ede;61;52,1;32;27,3;8;6,8;;;WAAR;Ede
Eemnes;3;32,4;0;0;1;10,8;;;WAAR;Eemnes
Eersel;21;108,7;14;72,5;1;5,2;;;WAAR;Eersel
Eijsden-Margraten;55;213,4;24;93,1;4;15,5;;;WAAR;Eijsden-Margraten
Eindhoven;168;71,7;76;32,4;17;7,3;;;WAAR;Eindhoven
Elburg;19;82;5;21,6;0;0;;;WAAR;Elburg
Emmen;19;17,7;9;8,4;2;1,9;;;WAAR;Emmen
Enkhuizen;19;102,2;13;69,9;4;21,5;;;WAAR;Enkhuizen
Enschede;66;41,3;25;15,7;7;4,4;;;WAAR;Enschede
Epe;40;120,6;24;72,3;5;15,1;;;WAAR;Epe
Ermelo;21;77,8;12;44,4;5;18,5;;;WAAR;Ermelo
Etten-Leur;49;111,7;24;54,7;10;22,8;;;WAAR;Etten-Leur
Geertruidenberg;8;37,1;4;18,6;2;9,3;;;WAAR;Geertruidenberg
Geldrop-Mierlo;34;85,6;15;37,8;2;5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;70;227,8;39;126,9;17;55,3;;;WAAR;Gemert-Bakel
Gennep;20;118,2;9;53,2;3;17,7;;;WAAR;Gennep
Gilze en Rijen;28;105,9;15;56,8;4;15,1;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;119;237,8;34;67,9;8;16;;;WAAR;Goeree-Overflakkee
Goes;24;63;8;21;1;2,6;;;WAAR;Goes
Goirle;28;117,1;17;71,1;8;33,5;;;WAAR;Goirle
Gooise Meren;30;51,7;15;25,8;1;1,7;;;WAAR;Gooise Meren
Gorinchem;39;105,3;11;29,7;1;2,7;;;WAAR;Gorinchem
Gouda;50;68,1;17;23,2;6;8,2;;;WAAR;Gouda
Grave;26;209,1;11;88,5;4;32,2;;;WAAR;Grave
Groningen (gemeente);86;36,9;11;4,7;1;0,4;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;14;98,8;8;56,5;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;11;45,2;6;24,7;0;0;;;WAAR;Haaksbergen
Haaren;14;97,4;6;41,8;4;27,8;;;WAAR;Haaren
Haarlem;100;61,4;27;16,6;14;8,6;;;WAAR;Haarlem
Haarlemmermeer;69;44,2;34;21,8;5;3,2;;;WAAR;Haarlemmermeer
Halderberge;14;46,2;8;26,4;3;9,9;;;WAAR;Halderberge
Hardenberg;26;42,7;9;14,8;0;0;;;WAAR;Hardenberg
Harderwijk;25;51,6;13;26,9;1;2,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;4;21,9;1;5,5;1;5,5;;;WAAR;Hardinxveld-Giessendam
Harlingen;3;19,1;2;12,7;0;0;;;WAAR;Harlingen
Hattem;17;139,2;10;81,9;1;8,2;;;WAAR;Hattem
Heemskerk;35;89,3;19;48,5;3;7,7;;;WAAR;Heemskerk
Heemstede;41;150,5;9;33;10;36,7;;;WAAR;Heemstede
Heerde;47;252,8;31;166,8;8;43;;;WAAR;Heerde
Heerenveen;12;23,8;8;15,8;1;2;;;WAAR;Heerenveen
Heerhugowaard;33;57,3;21;36,5;4;6,9;;;WAAR;Heerhugowaard
Heerlen;89;102,2;57;65,5;17;19,5;;;WAAR;Heerlen
Heeze-Leende;15;92,9;4;24,8;0;0;;;WAAR;Heeze-Leende
Heiloo;14;58,4;7;29,2;4;16,7;;;WAAR;Heiloo
Hellendoorn;19;52,9;3;8,4;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;19;47,3;6;14,9;0;0;;;WAAR;Hellevoetsluis
Helmond;102;110,4;40;43,3;14;15,1;;;WAAR;Helmond
Hendrik-Ido-Ambacht;6;19,2;3;9,6;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);41;50,5;8;9,9;3;3,7;;;WAAR;Hengelo (O.)
Het Hogeland;10;20,9;4;8,4;0;0;;;WAAR;Het Hogeland
Heumen;18;109,4;10;60,8;2;12,2;;;WAAR;Heumen
Heusden;50;111,9;29;64,9;5;11,2;;;WAAR;Heusden
Hillegom;8;36;4;18;0;0;;;WAAR;Hillegom
Hilvarenbeek;13;83,8;6;38,7;2;12,9;;;WAAR;Hilvarenbeek
Hilversum;34;37,4;15;16,5;3;3,3;;;WAAR;Hilversum
Hoeksche Waard;70;80,1;40;45,8;3;3,4;;;WAAR;Hoeksche Waard
Hof van Twente;16;45,7;8;22,8;0;0;;;WAAR;Hof van Twente
Hollands Kroon;29;59,9;19;39,2;3;6,2;;;WAAR;Hollands Kroon
Hoogeveen;11;19,7;7;12,6;0;0;;;WAAR;Hoogeveen
Hoorn;28;38,2;17;23,2;6;8,2;;;WAAR;Hoorn
Horst aan de Maas;37;87,2;28;66;11;25,9;;;WAAR;Horst aan de Maas
Houten;43;85,7;15;29,9;1;2;;;WAAR;Houten
Huizen;23;55,7;13;31,5;2;4,8;;;WAAR;Huizen
Hulst;6;21,8;4;14,5;1;3,6;;;WAAR;Hulst
IJsselstein;33;96,7;21;61,6;8;23,5;;;WAAR;IJsselstein
Kaag en Braassem;8;29,3;5;18,3;0;0;;;WAAR;Kaag en Braassem
Kampen;77;141,8;36;66,3;7;12,9;;;WAAR;Kampen
Kapelle;1;7,9;0;0;0;0;;;WAAR;Kapelle
Katwijk;28;42,6;12;18,3;2;3;;;WAAR;Katwijk
Kerkrade;41;89,6;28;61,2;10;21,9;;;WAAR;Kerkrade
Koggenland;10;44;5;22;1;4,4;;;WAAR;Koggenland
Krimpen aan den IJssel;18;61;4;13,5;3;10,2;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;49;87;28;49,7;8;14,2;;;WAAR;Krimpenerwaard
Laarbeek;48;213,1;21;93,2;12;53,3;;;WAAR;Laarbeek
Landerd;40;254,3;17;108,1;7;44,5;;;WAAR;Landerd
Landgraaf;34;90,8;23;61,4;3;8;;;WAAR;Landgraaf
Landsmeer;6;52,2;3;26,1;2;17,4;;;WAAR;Landsmeer
Langedijk;14;49,7;10;35,5;1;3,6;;;WAAR;Langedijk
Lansingerland;49;78,5;18;28,9;2;3,2;;;WAAR;Lansingerland
Laren (NH.);12;106,4;5;44,3;1;8,9;;;WAAR;Laren (NH.)
Leeuwarden;22;17,7;22;17,7;1;0,8;;;WAAR;Leeuwarden
Leiden;34;27,2;15;12;5;4;;;WAAR;Leiden
Leiderdorp;5;18,5;4;14,8;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;19;24,8;9;11,8;3;3,9;;;WAAR;Leidschendam-Voorburg
Lelystad;28;35,6;19;24,2;3;3,8;;;WAAR;Lelystad
Leudal;48;133,8;29;80,8;11;30,7;;;WAAR;Leudal
Leusden;15;49,3;6;19,7;3;9,9;;;WAAR;Leusden
Lingewaard;27;57,9;17;36,5;2;4,3;;;WAAR;Lingewaard
Lisse;7;30,5;3;13,1;1;4,4;;;WAAR;Lisse
Lochem;14;41,5;6;17,8;2;5,9;;;WAAR;Lochem
Loon op Zand;23;98,3;14;59,8;4;17,1;;;WAAR;Loon op Zand
Lopik;12;82,9;7;48,4;1;6,9;;;WAAR;Lopik
Loppersum;2;21;0;0;0;0;;;WAAR;Loppersum
Losser;6;26,5;5;22;0;0;;;WAAR;Losser
Maasdriel;14;55,9;10;40;2;8;;;WAAR;Maasdriel
Maasgouw;22;91,8;13;54,2;2;8,3;;;WAAR;Maasgouw
Maassluis;18;54,2;9;27,1;1;3;;;WAAR;Maassluis
Maastricht;175;143,9;69;56,8;12;9,9;;;WAAR;Maastricht
Medemblik;23;51;11;24,4;2;4,4;;;WAAR;Medemblik
Meerssen;20;106,2;9;47,8;2;10,6;;;WAAR;Meerssen
Meierijstad;214;263,6;106;130,6;56;69;;;WAAR;Meierijstad
Meppel;11;32,4;3;8,8;2;5,9;;;WAAR;Meppel
Middelburg (Z.);17;34,8;8;16,4;5;10,2;;;WAAR;Middelburg (Z.)
Midden-Delfland;5;25,9;3;15,5;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;10;30,1;6;18,1;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;6;9,9;4;6,6;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;11;100,6;7;64;1;9,1;;;WAAR;Mill en Sint Hubert
Moerdijk;15;40,4;5;13,5;1;2,7;;;WAAR;Moerdijk
Molenlanden;22;50,1;9;20,5;2;4,6;;;WAAR;Molenlanden
Montferland;12;33,3;10;27,8;2;5,6;;;WAAR;Montferland
Montfoort;18;129,3;10;71,9;2;14,4;;;WAAR;Montfoort
Mook en Middelaar;14;178,4;2;25,5;1;12,7;;;WAAR;Mook en Middelaar
Neder-Betuwe;37;152;23;94,5;7;28,8;;;WAAR;Neder-Betuwe
Nederweert;25;146,9;17;99,9;2;11,8;;;WAAR;Nederweert
Nieuwegein;34;53,6;17;26,8;1;1,6;;;WAAR;Nieuwegein
Nieuwkoop;14;48,6;5;17,4;1;3,5;;;WAAR;Nieuwkoop
Nijkerk;23;53,3;13;30,1;2;4,6;;;WAAR;Nijkerk
Nijmegen;199;112;76;42,8;15;8,4;;;WAAR;Nijmegen
Nissewaard;42;49,3;22;25,8;5;5,9;;;WAAR;Nissewaard
Noardeast-Fryslan;6;13,3;3;6,6;2;4,4;;;WAAR;Noardeast-Fryslan
Noord-Beveland;2;27,1;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;5;16;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;11;23,3;8;16,9;2;4,2;;;WAAR;Noordoostpolder
Noordwijk;15;34,5;8;18,4;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;17;72,7;10;42,8;3;12,8;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;62;222,6;33;118,5;6;21,5;;;WAAR;Nunspeet
Oegstgeest;13;52,3;2;8,1;1;4;;;WAAR;Oegstgeest
Oirschot;20;106,9;8;42,7;2;10,7;;;WAAR;Oirschot
Oisterwijk;19;72,4;9;34,3;7;26,7;;;WAAR;Oisterwijk
Oldambt;3;7,9;1;2,6;0;0;;;WAAR;Oldambt
Oldebroek;32;135,3;18;76,1;6;25,4;;;WAAR;Oldebroek
Oldenzaal;19;59,7;7;22;5;15,7;;;WAAR;Oldenzaal
Olst-Wijhe;12;65,7;6;32,9;3;16,4;;;WAAR;Olst-Wijhe
Ommen;9;50;5;27,8;0;0;;;WAAR;Ommen
Oost Gelre;16;54;4;13,5;2;6,8;;;WAAR;Oost Gelre
Oosterhout;36;64,3;24;42,9;4;7,1;;;WAAR;Oosterhout
Ooststellingwerf;1;3,9;2;7,9;0;0;;;WAAR;Ooststellingwerf
Oostzaan;9;92,4;4;41,1;0;0;;;WAAR;Oostzaan
Opmeer;3;25,3;1;8,4;0;0;;;WAAR;Opmeer
Opsterland;6;20,2;3;10,1;0;0;;;WAAR;Opsterland
Oss;187;203,4;100;108,8;35;38,1;;;WAAR;Oss
Oude IJsselstreek;13;33;5;12,7;1;2,5;;;WAAR;Oude IJsselstreek
Ouder-Amstel;10;71,3;3;21,4;0;0;;;WAAR;Ouder-Amstel
Oudewater;27;263,9;18;176;5;48,9;;;WAAR;Oudewater
Overbetuwe;56;116,9;32;66,8;7;14,6;;;WAAR;Overbetuwe
Papendrecht;8;24,9;3;9,3;0;0;;;WAAR;Papendrecht
Peel en Maas;120;276,3;93;214,2;37;85,2;;;WAAR;Peel en Maas
Pekela;3;24,6;3;24,6;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;19;34,4;10;18,1;2;3,6;;;WAAR;Pijnacker-Nootdorp
Purmerend;66;81,2;41;50,5;4;4,9;;;WAAR;Purmerend
Putten;8;33,2;4;16,6;0;0;;;WAAR;Putten
Raalte;23;61;15;39,8;5;13,3;;;WAAR;Raalte
Reimerswaal;4;17,6;1;4,4;2;8,8;;;WAAR;Reimerswaal
Renkum;14;44,6;9;28,6;0;0;;;WAAR;Renkum
Renswoude;1;18,4;1;18,4;0;0;;;WAAR;Renswoude
Reusel-De Mierden;9;68,6;4;30,5;0;0;;;WAAR;Reusel-De Mierden
Rheden;32;73,1;24;54,8;7;16;;;WAAR;Rheden
Rhenen;8;39,8;3;14,9;0;0;;;WAAR;Rhenen
Ridderkerk;41;88,8;23;49,8;4;8,7;;;WAAR;Ridderkerk
Rijssen-Holten;27;70,7;10;26,2;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);19;34,9;12;22;1;1,8;;;WAAR;Rijswijk (ZH.)
Roerdalen;24;116,7;17;82,6;2;9,7;;;WAAR;Roerdalen
Roermond;45;77,2;34;58,4;7;12;;;WAAR;Roermond
Roosendaal;23;29,8;13;16,8;2;2,6;;;WAAR;Roosendaal
Rotterdam;403;61,9;173;26,6;17;2,6;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;11;48,1;4;17,5;2;8,7;;;WAAR;Rucphen
Schagen;16;34,4;9;19,4;1;2,2;;;WAAR;Schagen
Scherpenzeel;6;60,7;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;36;45,7;21;26,7;3;3,8;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;14;41,4;5;14,8;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);201;36,8;110;20,2;15;2,7;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;150;96,7;61;39,3;25;16,1;;;WAAR;'s-Hertogenbosch
Simpelveld;13;123,2;12;113,7;1;9,5;;;WAAR;Simpelveld
Sint Anthonis;27;231,5;8;68,6;7;60;;;WAAR;Sint Anthonis
Sint-Michielsgestel;28;95,9;8;27,4;5;17,1;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;79;85,5;48;51,9;18;19,5;;;WAAR;Sittard-Geleen
Sliedrecht;8;31,7;5;19,8;2;7,9;;;WAAR;Sliedrecht
Sluis;6;25,9;1;4,3;3;12,9;;;WAAR;Sluis
Smallingerland;7;12,5;3;5,3;1;1,8;;;WAAR;Smallingerland
Soest;21;45,1;13;27,9;2;4,3;;;WAAR;Soest
Someren;33;170,4;17;87,8;1;5,2;;;WAAR;Someren
Son en Breugel;22;127;17;98,1;1;5,8;;;WAAR;Son en Breugel
Stadskanaal;1;3,2;1;3,2;0;0;;;WAAR;Stadskanaal
Staphorst;5;29,2;4;23,3;1;5,8;;;WAAR;Staphorst
Stede Broec;19;87,5;12;55,2;2;9,2;;;WAAR;Stede Broec
Steenbergen;17;69,6;7;28,7;1;4,1;;;WAAR;Steenbergen
Steenwijkerland;12;27,2;7;15,9;0;0;;;WAAR;Steenwijkerland
Stein (L.);32;128;26;104;7;28;;;WAAR;Stein (L.)
Stichtse Vecht;30;46,2;19;29,3;4;6,2;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;24;26,7;13;14,4;1;1,1;;;WAAR;Sudwest-Fryslan
Terneuzen;25;45,9;11;20,2;1;1,8;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;4;29,5;1;7,4;1;7,4;;;WAAR;Texel
Teylingen;15;40,1;6;16;0;0;;;WAAR;Teylingen
Tholen;42;163,1;26;100,9;7;27,2;;;WAAR;Tholen
Tiel;30;71,2;18;42,7;4;9,5;;;WAAR;Tiel
Tilburg;259;117,8;125;56,9;61;27,8;;;WAAR;Tilburg
Tubbergen;13;61,1;7;32,9;0;0;;;WAAR;Tubbergen
Twenterand;9;26,7;7;20,7;0;0;;;WAAR;Twenterand
Tynaarlo;18;53,1;6;17,7;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;5;15,6;3;9,4;0;0;;;WAAR;Tytsjerksteradiel
Uden;110;261,2;57;135,3;30;71,2;;;WAAR;Uden
Uitgeest;9;65,9;3;22;1;7,3;;;WAAR;Uitgeest
Uithoorn;17;57,7;8;27,1;0;0;;;WAAR;Uithoorn
Urk;16;76,1;10;47,5;2;9,5;;;WAAR;Urk
Utrecht (gemeente);277;77,5;105;29,4;22;6,2;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;31;62,5;12;24,2;2;4;;;WAAR;Utrechtse Heuvelrug
Vaals;9;89,1;8;79,2;1;9,9;;;WAAR;Vaals
Valkenburg aan de Geul;13;79,4;7;42,8;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;48;153,9;12;38,5;5;16;;;WAAR;Valkenswaard
Veendam;5;18,3;1;3,7;0;0;;;WAAR;Veendam
Veenendaal;21;31,6;12;18;3;4,5;;;WAAR;Veenendaal
Veere;11;50,3;3;13,7;1;4,6;;;WAAR;Veere
Veldhoven;35;77;18;39,6;7;15,4;;;WAAR;Veldhoven
Velsen;47;68,5;16;23,3;2;2,9;;;WAAR;Velsen
Venlo;95;93,3;69;67,8;16;15,7;;;WAAR;Venlo
Venray;41;94;20;45,9;6;13,8;;;WAAR;Venray
Vijfheerenlanden;55;96,8;14;24,6;6;10,6;;;WAAR;Vijfheerenlanden
Vlaardingen;46;62,7;14;19,1;2;2,7;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;14;31,6;5;11,3;2;4,5;;;WAAR;Vlissingen
Voerendaal;11;88,2;6;48,1;1;8;;;WAAR;Voerendaal
Voorschoten;12;46,9;5;19,5;1;3,9;;;WAAR;Voorschoten
Voorst;23;93,7;12;48,9;2;8,1;;;WAAR;Voorst
Vught;36;135,6;20;75,3;6;22,6;;;WAAR;Vught
Waadhoeke;10;21,7;4;8,7;0;0;;;WAAR;Waadhoeke
Waalre;12;68,7;3;17,2;0;0;;;WAAR;Waalre
Waalwijk;51;104,9;19;39,1;17;35;;;WAAR;Waalwijk
Waddinxveen;12;41;6;20,5;1;3,4;;;WAAR;Waddinxveen
Wageningen;9;22,7;6;15,1;2;5;;;WAAR;Wageningen
Wassenaar;4;15,2;2;7,6;0;0;;;WAAR;Wassenaar
Waterland;10;57,4;8;45,9;1;5,7;;;WAAR;Waterland
Weert;53;105,8;35;69,9;4;8;;;WAAR;Weert
Weesp;15;76;3;15,2;1;5,1;;;WAAR;Weesp
West Betuwe;40;78,2;17;33,2;2;3,9;;;WAAR;West Betuwe
West Maas en Waal;16;82,8;9;46,6;2;10,3;;;WAAR;West Maas en Waal
Westerkwartier;22;34,7;9;14,2;1;1,6;;;WAAR;Westerkwartier
Westerveld;9;46,2;2;10,3;1;5,1;;;WAAR;Westerveld
Westervoort;7;46,8;4;26,7;1;6,7;;;WAAR;Westervoort
Westerwolde;4;15,5;4;15,5;0;0;;;WAAR;Westerwolde
Westland;56;50,7;24;21,7;4;3,6;;;WAAR;Westland
Weststellingwerf;3;11,6;2;7,7;1;3,9;;;WAAR;Weststellingwerf
Westvoorne;9;61,1;4;27,2;0;0;;;WAAR;Westvoorne
Wierden;14;57,3;3;12,3;2;8,2;;;WAAR;Wierden
Wijchen;43;104,6;24;58,4;6;14,6;;;WAAR;Wijchen
Wijdemeren;7;28,7;5;20,5;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;8;33,5;4;16,7;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;5;17,3;2;6,9;0;0;;;WAAR;Winterswijk
Woensdrecht;7;32;4;18,3;0;0;;;WAAR;Woensdrecht
Woerden;46;88;29;55,5;4;7,6;;;WAAR;Woerden
Wormerland;13;79,9;12;73,8;3;18,4;;;WAAR;Wormerland
Woudenberg;8;59,9;3;22,5;0;0;;;WAAR;Woudenberg
Zaanstad;84;53,6;58;37;9;5,7;;;WAAR;Zaanstad
Zaltbommel;16;55,4;8;27,7;2;6,9;;;WAAR;Zaltbommel
Zandvoort;9;52,6;5;29,2;3;17,5;;;WAAR;Zandvoort
Zeewolde;8;35,3;6;26,5;0;0;;;WAAR;Zeewolde
Zeist;44;67,8;19;29,3;2;3,1;;;WAAR;Zeist
Zevenaar;24;54,9;24;54,9;2;4,6;;;WAAR;Zevenaar
Zoetermeer;38;30,3;25;20;2;1,6;;;WAAR;Zoetermeer
Zoeterwoude;3;34,9;2;23,2;0;0;;;WAAR;Zoeterwoude
Zuidplas;26;59,2;14;31,9;2;4,6;;;WAAR;Zuidplas
Zundert;22;100,8;7;32,1;4;18,3;;;WAAR;Zundert
Zutphen;20;41,7;11;22,9;3;6,3;;;WAAR;Zutphen
Zwartewaterland;43;189,6;19;83,8;8;35,3;;;WAAR;Zwartewaterland
Zwijndrecht;14;31,3;8;17,9;2;4,5;;;WAAR;Zwijndrecht
Zwolle;93;72,2;33;25,6;14;10,9;;;WAAR;Zwolle
